Stock list generated by Unnamed McNoSurnameFace of company Undefined Industries

Available stock in the shop is:
Manufacturer | Model | Motherboard | Central Processor | Graphics Card | RAM | OS Hard Drive | 
MANUFACTURER 1 | PC 1 | MOTHERBOARD 1 | GENERIC CPU 1 | GENERIC GPU 1 | GENERIC RAM 1 | GENERIC HDD 1  | 
MANUFACTURER 2 | PC 2 | MOTHERBOARD 2 | GENERIC CPU 2 | GENERIC GPU 2 | GENERIC RAM 2 | GENERIC HDD 2 | 
MANUFACTURER 3 | PC 3 | MOTHERBOARD 3 | GENERIC CPU 3 | GENERIC GPU 3 | GENERIC RAM 3 | GENERIC HDD 3 | 
MANUFACTURER 4 | PC 4 | MOTHERBOARD 4 | GENERIC CPU 4 | GENERIC GPU 4 | GENERIC RAM 4 | GENERIC HDD 4 | 
MANUFACTURER 5 | PC 5 | MOTHERBOARD 5 | GENERIC CPU 5 | GENERIC GPU 5 | GENERIC RAM 5 | GENERIC HDD 5 | 
MANUFACTURER 6 | PC 6 | MOTHERBOARD 6 | GENERIC CPU 6 | GENERIC GPU 6 | GENERIC RAM 6 | GENERIC HDD 6 | 
MANUFACTURER 7 | PC 7 | MOTHERBOARD 7 | GENERIC CPU 7 | GENERIC GPU 7 | GENERIC RAM 7 | GENERIC HDD 7 | 
MANUFACTURER 8 | PC 8 | MOTHERBOARD 8 | GENERIC CPU 8 | GENERIC GPU 8 | GENERIC RAM 8 | GENERIC HDD 8 | 
MANUFACTURER 9 | PC 9 | MOTHERBOARD 9 | GENERIC CPU 9 | GENERIC GPU 9 | GENERIC RAM 9  | GENERIC HDD 9 | 
MANUFACTURER 10 | PC 10 | MOTHERBOARD 10 | GENERIC CPU 10 | GENERIC GPU 10 | GENERIC RAM 10 | GENERIC HDD 10 | 
MANUFACTURER 11 | PC 11 | MOTHERBOARD 11 | GENERIC CPU 11 | GENERIC GPU 11 | GENERIC RAM 11 | GENERIC HDD 11 | 
MANUFACTURER 12 | PC 12 | MOTHERBOARD 12 | GENERIC CPU 12 | GENERIC GPU 12 | GENERIC RAM 12 | GENERIC HDD 12 | 
MANUFACTURER 13 | PC 13 | MOTHERBOARD 13 | GENERIC CPU 13 | GENERIC GPU 13 | GENERIC RAM 13 | GENERIC HDD 13 | 
MANUFACTURER 14 | PC 14 | MOTHERBOARD 14 | GENERIC CPU 14 | GENERIC GPU 14 | GENERIC RAM 14 | GENERIC HDD 14 | 
MANUFACTURER 15 | PC 15 | MOTHERBOARD 15 | GENERIC CPU 15 | GENERIC GPU 15 | GENERIC RAM 15 | GENERIC HDD 15 | 
MANUFACTURER 16 | PC 16 | MOTHERBOARD 16 | GENERIC CPU 16 | GENERIC GPU 16 | GENERIC RAM 16 | GENERIC HDD 16 | 
MANUFACTURER 17 | PC 17 | MOTHERBOARD 17 | GENERIC CPU 17 | GENERIC GPU 17 | GENERIC RAM 17 | GENERIC HDD 17 | 
MANUFACTURER 18 | PC 18 | MOTHERBOARD 18 | GENERIC CPU 18 | GENERIC GPU 18 | GENERIC RAM 18 | GENERIC HDD 18 | 
MANUFACTURER 19 | PC 19 | MOTHERBOARD 19 | GENERIC CPU 19 | GENERIC GPU 19 | GENERIC RAM 19 | GENERIC HDD 19 | 
MANUFACTURER 20 | PC 20 | MOTHERBOARD 20 | GENERIC CPU 20 | GENERIC GPU 20 | GENERIC RAM 20 | GENERIC HDD 20 | 
MANUFACTURER 21 | PC 21 | MOTHERBOARD 21 | GENERIC CPU 21 | GENERIC GPU 21 | GENERIC RAM 21 | GENERIC HDD 21 | 
MANUFACTURER 22 | PC 22 | MOTHERBOARD 22 | GENERIC CPU 22 | GENERIC GPU 22 | GENERIC RAM 22 | GENERIC HDD 22 | 
MANUFACTURER 23 | PC 23 | MOTHERBOARD 23 | GENERIC CPU 23 | GENERIC GPU 23 | GENERIC RAM 23 | GENERIC HDD 23 | 
MANUFACTURER 24 | PC 24 | MOTHERBOARD 24 | GENERIC CPU 24 | GENERIC GPU 24 | GENERIC RAM 24 | GENERIC HDD 24 | 
MANUFACTURER 25 | PC 25 | MOTHERBOARD 25 | GENERIC CPU 25 | GENERIC GPU 25 | GENERIC RAM 25 | GENERIC HDD 25 | 
MANUFACTURER 26 | PC 26 | MOTHERBOARD 26 | GENERIC CPU 26 | GENERIC GPU 26 | GENERIC RAM 26 | GENERIC HDD 26 | 
MANUFACTURER 27 | PC 27 | MOTHERBOARD 27 | GENERIC CPU 27 | GENERIC GPU 27 | GENERIC RAM 27 | GENERIC HDD 27 | 
MANUFACTURER 28 | PC 28 | MOTHERBOARD 28 | GENERIC CPU 28 | GENERIC GPU 28 | GENERIC RAM 28 | GENERIC HDD 28 | 
MANUFACTURER 29 | PC 29 | MOTHERBOARD 29 | GENERIC CPU 29 | GENERIC GPU 29 | GENERIC RAM 29 | GENERIC HDD 29 | 
